Attribute,NCBI_ID,Attribute_source,Evidence,Score
:aerobic,2798934,propogated,inh,0.278059613997114
:aerobic,2798933,propogated,inh,0.278059613997114
:aerobic,2798935,propogated,inh,0.278059613997114
:aerobic,2798931,propogated,inh,0.278059613997114
:aerobic,2798932,propogated,inh,0.278059613997114
:aerobic,2792796,propogated,inh,0.278059613997114
:aerobic,2798930,propogated,inh,0.278059613997114
:aerobic,2599198,propogated,inh,0
:aerobic,1680826,propogated,inh,0
:aerobic,2945045,propogated,inh,0
:aerobic,2945043,propogated,inh,0
:aerobic,2945047,propogated,inh,0
:aerobic,2945046,propogated,inh,0
:aerobic,2888739,propogated,inh,0
:aerobic,1291539,propogated,asr,0
:aerobic,1577789,propogated,inh,0
:aerobic,1607807,propogated,inh,0
:aerobic,1080709,propogated,NA,0
:aerobic,1747777,propogated,inh,0
:aerobic,507753,propogated,NA,0
:aerobic,74968,propogated,NA,0
:aerobic,46631,propogated,NA,0
:aerobic,2302,propogated,NA,0
:aerobic,2885743,propogated,inh,0.278059613997114
:aerobic,2885758,propogated,inh,0.278059613997114
:aerobic,2885750,propogated,inh,0.278059613997114
:aerobic,2885740,propogated,inh,0.278059613997114
:aerobic,662756,propogated,inh,0.278059613997114
:aerobic,2885746,propogated,inh,0.278059613997114
:aerobic,2987739,propogated,inh,0.278059613997114
:aerobic,2987740,propogated,inh,0.278059613997114
:aerobic,2856051,propogated,inh,0.278059613997114
:aerobic,2821828,propogated,inh,0.278059613997114
:aerobic,2821829,propogated,inh,0.278059613997114
:aerobic,2885755,propogated,inh,0.278059613997114
:aerobic,193568,propogated,inh,0.278059613997114
:aerobic,1996557,propogated,inh,0.278059613997114
:aerobic,1890407,propogated,inh,0.278059613997114
:aerobic,2974824,propogated,inh,0.278059613997114
:aerobic,2233,propogated,NA,0
:aerobic,54260,propogated,NA,0
:aerobic,190818,propogated,inh,0
:aerobic,2545692,propogated,inh,0.10182178932178931
:aerobic,2545693,propogated,inh,0.10182178932178931
:aerobic,2160,propogated,NA,0
:aerobic,2172,propogated,asr,0
:aerobic,2316,propogated,NA,0
:aerobic,145260,propogated,NA,0
:aerobic,2179,propogated,NA,0
:aerobic,196118,propogated,NA,0
:aerobic,196119,propogated,NA,0
:aerobic,2184,propogated,NA,0
:aerobic,155862,propogated,NA,0
:aerobic,2022712,propogated,inh,0
:aerobic,2022711,propogated,NA,0
:aerobic,2319,propogated,NA,0
:aerobic,1542963,https://www.bergeys.org/,exp,1
:aerobic,2237,propogated,NA,0
:aerobic,2907507,propogated,inh,0.7857142857142857
:aerobic,2806252,propogated,inh,0.7857142857142857
:aerobic,1427149,propogated,inh,0.7857142857142857
:aerobic,203135,propogated,asr,1
:aerobic,146825,https://www.bergeys.org/,exp,0.5
:aerobic,1073987,https://www.bergeys.org/,exp,1
:aerobic,2841540,propogated,inh,0.7857142857142857
:aerobic,1763447,propogated,inh,0.7857142857142857
:aerobic,171163,https://www.bergeys.org/,exp,1
:aerobic,63743,https://www.bergeys.org/,exp,1
:aerobic,367188,propogated,inh,0.7272727272727273
:aerobic,332246,https://www.bergeys.org/,exp,1
:aerobic,1656823,propogated,NA,0
:aerobic,744724,propogated,inh,0.7272727272727273
:aerobic,1269031,https://www.bergeys.org/,exp,1
:aerobic,2239,propogated,NA,0
:aerobic,1779002,propogated,inh,0.7272727272727273
:aerobic,2907493,propogated,inh,0.7272727272727273
:aerobic,1980514,propogated,NA,0
:aerobic,871740,propogated,inh,0.7272727272727273
:aerobic,2614447,propogated,inh,0.7272727272727273
:aerobic,1269048,https://www.bergeys.org/,exp,1
:aerobic,1070314,https://www.bergeys.org/,exp,1
:aerobic,1377992,https://www.bergeys.org/,exp,1
:aerobic,2975143,propogated,inh,0.7272727272727273
:aerobic,1075398,https://www.bergeys.org/,exp,1
:aerobic,1644062,https://www.bergeys.org/,exp,1
:aerobic,2036001,https://www.bergeys.org/,exp,1
:aerobic,2249,https://www.bergeys.org/,exp,1
:aerobic,1843185,https://www.bergeys.org/,exp,0.5
:aerobic,2917705,propogated,inh,0.8333333333333334
:aerobic,926359,https://www.bergeys.org/,exp,1
:aerobic,1269201,https://www.bergeys.org/,exp,1
:aerobic,2663399,propogated,inh,0.7142857142857143
:aerobic,1073986,https://www.bergeys.org/,exp,1
:aerobic,2251,https://www.bergeys.org/,exp,1
:aerobic,60846,https://www.bergeys.org/,exp,1
:aerobic,695982,https://www.bergeys.org/,exp,1
:aerobic,1008195,https://www.bergeys.org/,exp,1
:aerobic,376170,propogated,NA,0
:aerobic,1911573,propogated,NA,0
:aerobic,293431,propogated,inh,0.7142857142857143
:aerobic,1431544,propogated,inh,0.5
:aerobic,1940141,propogated,inh,0.5
:aerobic,2678343,propogated,inh,0.5
:aerobic,2806916,propogated,inh,0.5
:aerobic,43927,https://www.bergeys.org/,exp,1
:aerobic,2033608,propogated,NA,0
:aerobic,1450140,propogated,NA,0
:aerobic,1075397,https://www.bergeys.org/,exp,1
:aerobic,869896,propogated,NA,0
:aerobic,1820337,propogated,NA,0
:aerobic,1209988,propogated,inh,0.5
:aerobic,56688,propogated,asr,1
:aerobic,2945980,propogated,inh,0.5
:aerobic,1644057,https://www.bergeys.org/,exp,1
:aerobic,203193,https://www.bergeys.org/,exp,1
:aerobic,387342,https://www.bergeys.org/,exp,1
:aerobic,2993618,propogated,inh,1
:aerobic,353799,https://www.bergeys.org/,exp,1
:aerobic,121871,https://www.bergeys.org/,exp,1
:aerobic,332951,propogated,inh,1
:aerobic,2765402,propogated,inh,1
:aerobic,2501796,propogated,inh,1
:aerobic,63742,propogated,asr,1
:aerobic,1699375,https://www.bergeys.org/,exp,1
:aerobic,88723,propogated,asr,1
:aerobic,2256,https://www.bergeys.org/,exp,1
:aerobic,2174848,propogated,inh,1
:aerobic,29287,https://www.bergeys.org/,exp,1
:aerobic,253106,https://www.bergeys.org/,exp,1
:aerobic,2765403,propogated,inh,1
:aerobic,134813,https://www.bergeys.org/,exp,1
:aerobic,2798309,propogated,inh,1
:aerobic,2039236,https://www.bergeys.org/,exp,1
:aerobic,570266,propogated,NA,0
:aerobic,71151,propogated,NA,0
:aerobic,2192,propogated,NA,0
:aerobic,45989,propogated,NA,0
:aerobic,81416,propogated,NA,0
:aerobic,2195,propogated,NA,0
:aerobic,230355,propogated,NA,0
:aerobic,2204,propogated,NA,0
:aerobic,2314,propogated,NA,0
:aerobic,499551,propogated,NA,0
:aerobic,395331,propogated,NA,0
:aerobic,475087,propogated,inh,0
:aerobic,2202,propogated,NA,0
:aerobic,2982590,propogated,inh,0
:aerobic,2982589,propogated,inh,0
:aerobic,1392997,propogated,inh,0
:aerobic,91559,propogated,inh,0
:aerobic,2225,propogated,NA,0
:aerobic,2321,propogated,NA,0
:aerobic,2175,propogated,asr,0
:aerobic,2220,propogated,NA,0
:aerobic,101191,propogated,NA,0
:aerobic,196136,propogated,asr,0
:aerobic,2207,propogated,NA,0
:aerobic,660063,propogated,inh,0
:aerobic,2222,propogated,NA,0
:aerobic,83867,propogated,NA,0
:aerobic,2260,propogated,NA,0
:aerobic,2263,propogated,NA,0
:aerobic,2986812,propogated,inh,0.278059613997114
:aerobic,2986813,propogated,inh,0.278059613997114
:aerobic,2913938,propogated,inh,0.278059613997114
:aerobic,2913937,propogated,inh,0.278059613997114
:aerobic,1915411,propogated,inh,0.278059613997114
:aerobic,1915412,propogated,inh,0.278059613997114
:aerobic,105850,propogated,inh,0
:aerobic,200414,propogated,NA,0
:aerobic,56635,https://www.bergeys.org/,exp,1
:aerobic,2273,propogated,asr,0
:aerobic,54258,propogated,NA,0
:aerobic,334767,propogated,inh,0.125
:aerobic,2279,propogated,NA,0
:aerobic,52130,propogated,inh,0.125
:aerobic,53425,propogated,NA,0
:aerobic,54249,propogated,asr,0
:aerobic,477695,propogated,asr,0
:aerobic,54253,propogated,NA,0
:aerobic,2303493,propogated,inh,0.125
:aerobic,383690,propogated,inh,0
:aerobic,54247,propogated,NA,0
:aerobic,2308,propogated,NA,0
:aerobic,54251,propogated,NA,0
:aerobic,685950,propogated,NA,0
