Attribute,NCBI_ID,Attribute_source,Evidence,Score
:gram_stain_negative,2798934,propogated,inh,0.7917410714285714
:gram_stain_negative,2798933,propogated,inh,0.7917410714285714
:gram_stain_negative,2798935,propogated,inh,0.7917410714285714
:gram_stain_negative,2798931,propogated,inh,0.7917410714285714
:gram_stain_negative,2798932,propogated,inh,0.7917410714285714
:gram_stain_negative,2792796,propogated,inh,0.7917410714285714
:gram_stain_negative,2798930,propogated,inh,0.7917410714285714
:gram_stain_negative,2599198,propogated,inh,0.5
:gram_stain_negative,1680826,propogated,inh,0.5
:gram_stain_negative,2945045,propogated,inh,0.5
:gram_stain_negative,2945043,propogated,inh,0.5
:gram_stain_negative,2945047,propogated,inh,0.5
:gram_stain_negative,2945046,propogated,inh,0.5
:gram_stain_negative,2888739,propogated,inh,0.5
:gram_stain_negative,1291539,propogated,inh,0
:gram_stain_negative,1577789,propogated,inh,0
:gram_stain_negative,1607807,propogated,inh,0
:gram_stain_negative,1080709,propogated,NA,0
:gram_stain_negative,1747777,propogated,inh,1
:gram_stain_negative,507753,propogated,inh,1
:gram_stain_negative,74968,propogated,inh,1
:gram_stain_negative,46631,propogated,inh,1
:gram_stain_negative,2302,Bergey's Manual,exp,1
:gram_stain_negative,2885743,propogated,inh,0.7917410714285714
:gram_stain_negative,2885758,propogated,inh,0.7917410714285714
:gram_stain_negative,2885750,propogated,inh,0.7917410714285714
:gram_stain_negative,2885740,propogated,inh,0.7917410714285714
:gram_stain_negative,662756,propogated,inh,0.7917410714285714
:gram_stain_negative,2885746,propogated,inh,0.7917410714285714
:gram_stain_negative,2987739,propogated,inh,0.7917410714285714
:gram_stain_negative,2987740,propogated,inh,0.7917410714285714
:gram_stain_negative,2856051,propogated,inh,0.7917410714285714
:gram_stain_negative,2821828,propogated,inh,0.7917410714285714
:gram_stain_negative,2821829,propogated,inh,0.7917410714285714
:gram_stain_negative,2885755,propogated,inh,1
:gram_stain_negative,193568,Bergey's Manual,exp,1
:gram_stain_negative,1996557,propogated,inh,1
:gram_stain_negative,1890407,propogated,inh,1
:gram_stain_negative,2974824,propogated,inh,1
:gram_stain_negative,2233,Bergey's Manual,exp,1
:gram_stain_negative,54260,propogated,inh,1
:gram_stain_negative,190818,propogated,inh,1
:gram_stain_negative,2545692,propogated,inh,0.6669642857142858
:gram_stain_negative,2545693,propogated,inh,0.6669642857142858
:gram_stain_negative,2160,propogated,NA,0
:gram_stain_negative,2172,propogated,NA,0
:gram_stain_negative,2316,propogated,NA,0
:gram_stain_negative,145260,propogated,NA,0
:gram_stain_negative,2179,propogated,NA,0
:gram_stain_negative,196118,Bergey's Manual,exp,1
:gram_stain_negative,196119,propogated,inh,1
:gram_stain_negative,2184,propogated,inh,1
:gram_stain_negative,155862,Bergey's Manual,exp,1
:gram_stain_negative,2022712,propogated,inh,0.6669642857142858
:gram_stain_negative,2022711,propogated,inh,0.6669642857142858
:gram_stain_negative,2319,propogated,NA,0
:gram_stain_negative,1542963,Bergey's Manual,exp,1
:gram_stain_negative,2237,Bergey's Manual,exp,1
:gram_stain_negative,2907507,propogated,inh,1
:gram_stain_negative,2806252,propogated,inh,1
:gram_stain_negative,1427149,Bergey's Manual,exp,1
:gram_stain_negative,203135,Bergey's Manual,exp,1
:gram_stain_negative,146825,Bergey's Manual,exp,1
:gram_stain_negative,1073987,Bergey's Manual,exp,1
:gram_stain_negative,2841540,propogated,inh,1
:gram_stain_negative,1763447,Bergey's Manual,exp,1
:gram_stain_negative,171163,propogated,inh,1
:gram_stain_negative,63743,Bergey's Manual,exp,1
:gram_stain_negative,367188,Bergey's Manual,exp,1
:gram_stain_negative,332246,Bergey's Manual,exp,0.5
:gram_stain_negative,1656823,propogated,inh,0.9583333333333334
:gram_stain_negative,744724,Bergey's Manual,exp,1
:gram_stain_negative,1269031,Bergey's Manual,exp,1
:gram_stain_negative,2239,Bergey's Manual,exp,1
:gram_stain_negative,1779002,Bergey's Manual,exp,1
:gram_stain_negative,2907493,propogated,inh,0.9583333333333334
:gram_stain_negative,1980514,propogated,inh,0.9583333333333334
:gram_stain_negative,871740,propogated,inh,0.9583333333333334
:gram_stain_negative,2614447,propogated,inh,0.9583333333333334
:gram_stain_negative,1269048,Bergey's Manual,exp,1
:gram_stain_negative,1070314,Bergey's Manual,exp,1
:gram_stain_negative,1377992,Bergey's Manual,exp,1
:gram_stain_negative,2975143,propogated,inh,0.9583333333333334
:gram_stain_negative,1075398,Bergey's Manual,exp,1
:gram_stain_negative,1644062,Bergey's Manual,exp,1
:gram_stain_negative,2036001,Bergey's Manual,exp,1
:gram_stain_negative,2249,propogated,NA,0
:gram_stain_negative,1843185,Bergey's Manual,exp,1
:gram_stain_negative,2917705,propogated,inh,1
:gram_stain_negative,926359,Bergey's Manual,exp,1
:gram_stain_negative,1269201,Bergey's Manual,exp,1
:gram_stain_negative,2663399,propogated,inh,1
:gram_stain_negative,1073986,Bergey's Manual,exp,1
:gram_stain_negative,2251,Bergey's Manual,exp,1
:gram_stain_negative,60846,Bergey's Manual,exp,1
:gram_stain_negative,695982,Bergey's Manual,exp,1
:gram_stain_negative,1008195,propogated,inh,1
:gram_stain_negative,376170,propogated,inh,1
:gram_stain_negative,1911573,Bergey's Manual,exp,1
:gram_stain_negative,293431,propogated,inh,1
:gram_stain_negative,1431544,propogated,inh,0.9
:gram_stain_negative,1940141,propogated,inh,0.9
:gram_stain_negative,2678343,propogated,inh,0.9
:gram_stain_negative,2806916,propogated,inh,0.9
:gram_stain_negative,43927,Bergey's Manual,exp,1
:gram_stain_negative,2033608,propogated,inh,0.9
:gram_stain_negative,1450140,propogated,inh,0.9
:gram_stain_negative,1075397,Bergey's Manual,exp,1
:gram_stain_negative,869896,propogated,inh,0.9
:gram_stain_negative,1820337,propogated,inh,0.9
:gram_stain_negative,1209988,Bergey's Manual,exp,1
:gram_stain_negative,56688,Bergey's Manual,exp,0.5
